strategy,scoring_rate,total_score,total_model_score
0_CoT,0.979755538579068,2618.0,2565.0
1_SC,0.9774000509294628,2618.0,2558.8333333333335
2_ToT,0.9783969951617011,2618.0,2561.443333333333
3_GoT,0.9792462439521264,2618.0,2563.6666666666665
4_Auto-CoT,0.9832569391392921,2618.0,2574.1666666666665
5_KGR,0.985039470333588,2618.0,2578.8333333333335
6_ART,0.977145403615992,2618.0,2558.1666666666665
7_ReAct,0.9740679908326967,2618.0,2550.11
8_APE,0.9817927170868348,2618.0,2570.3333333333335
9_RAG,0.97886427298192,2618.0,2562.6666666666665
